id,appellation
1,"Alsace ou Vin d'Alsace"
2,"Crémant d’Alsace"
4,"Côtes de Toul"
8,"Barsac"
9,"Béarn"
10,"Bergerac"
12,"Côtes de Bergerac"
13,"Blaye"
14,"Bordeaux"
18,"Côtes de Bourg, Bourg et Bourgeais"
19,"Buzet"
20,"Cadillac"
21,"Cahors"
22,"Canon Fronsac"
23,"Cérons"
24,"Côtes de Blaye"
25,"Côtes de Bordeaux-Saint-Macaire"
27,"Côtes de Duras"
28,"Côtes de Montravel"
29,"Fronton"
30,"Côtes du Marmandais"
31,"Crémant de Bordeaux"
32,"Entre-deux-Mers"
33,"Fronsac"
34,"Gaillac"
36,"Gaillac premières côtes"
37,"Graves"
38,"Graves de Vayres"
39,"Haut-Médoc"
40,"Haut-Montravel"
41,"Irouléguy"
42,"Jurançon"
44,"Lalande-de-Pomerol"
45,"Listrac-Médoc"
46,"Loupiac"
47,"Lussac-Saint-Emilion"
48,"Madiran"
49,"Pacherenc du Vic-Bilh"
51,"Marcillac"
52,"Margaux"
53,"Médoc"
54,"Monbazillac"
55,"Montagne-Saint-Emilion"
56,"Montravel"
57,"Moulis ou Moulis-en-Médoc"
59,"Pauillac"
60,"Pécharmant"
61,"Pessac-Léognan"
62,"Pomerol"
64,"Premières Côtes de Bordeaux"
65,"Puisseguin-Saint-Emilion"
66,"Rosette"
67,"Saint-Emilion"
68,"Saint-Emilion grand cru"
69,"Saint-Estèphe"
70,"Saint-Georges-Saint-Emilion"
71,"Saint-Julien"
72,"Sainte-Croix-du-Mont"
74,"Saussignac"
75,"Sauternes"
76,"Anjou"
77,"Anjou-Coteaux de la Loire"
79,"Anjou Villages"
80,"Bonnezeaux"
81,"Bourgueil"
82,"Cabernet d'Anjou"
84,"Cheverny"
85,"Chinon"
86,"Coteaux de l'Aubance"
87,"Coteaux de Saumur"
88,"Coteaux du Layon"
89,"Coteaux du Loir"
90,"Cour-Cheverny"
91,"Crémant de Loire"
92,"Jasnières"
93,"Menetou-Salon"
94,"Montlouis-sur-Loire"
97,"Muscadet"
98,"Muscadet Coteaux de la Loire"
99,"Muscadet Côtes de Grandlieu"
100,"Muscadet Sèvre et Maine"
101,"Pouilly-Fumé ou Blanc Fumé de Pouilly"
102,"Pouilly-sur-Loire"
103,"Quarts de Chaume"
104,"Quincy"
105,"Reuilly"
106,"Rosé d'Anjou"
107,"Rosé de Loire"
108,"Saint-Nicolas-de-Bourgueil"
109,"Sancerre"
110,"Saumur"
112,"Savennières"
113,"Touraine"
119,"Vouvray"
122,"Saumur-Champigny"
123,"Touraine Noble Joué"
124,"Anjou Brissac"
125,"Coteaux du Giennois"
126,"Aloxe-Corton"
127,"Arbois"
129,"Auxey-Duresses"
130,"Bâtard-Montrachet"
134,"Beaune"
135,"Bienvenues-Bâtard-Montrachet"
136,"Blagny"
137,"Bonnes-Mares"
138,"Bourgogne"
140,"Bourgogne aligoté"
141,"Bourgogne mousseux"
144,"Bourgogne Passe-tout-grains"
145,"Brouilly"
146,"Chablis"
147,"Chablis Grand Cru"
148,"Chambertin"
149,"Chambertin-Clos de Bèze"
150,"Chambolle-Musigny"
151,"Chapelle-Chambertin"
152,"Charlemagne"
153,"Charmes-Chambertin"
154,"Chassagne-Montrachet"
155,"Château-Chalon"
156,"Chénas"
157,"Chevalier-Montrachet"
158,"Chiroubles"
159,"Chorey-lès-Beaune"
160,"Clos de la Roche"
161,"Clos de Tart"
162,"Clos de Vougeot ou Clos Vougeot"
163,"Clos des Lambrays"
164,"Clos Saint-Denis"
165,"Corton"
166,"Corton-Charlemagne"
167,"Côte de Beaune"
168,"Côte de Beaune-Villages"
169,"Côte de Brouilly"
170,"Côte roannaise"
171,"Côte de Nuits-Villages ou Vins fins de la Côte de Nuits"
172,"Coteaux du Lyonnais"
173,"Côtes du Jura"
175,"Crémant de Bourgogne"
176,"Crémant du Jura"
178,"Criots-Bâtard-Montrachet"
179,"Echezeaux"
180,"Fixin"
181,"Fleurie"
182,"Gevrey-Chambertin"
183,"Givry"
184,"Grands-Echezeaux"
185,"Griotte-Chambertin"
186,"Juliénas"
187,"L'Etoile"
189,"La Grande Rue"
190,"La Romanée"
191,"La Tâche"
192,"Ladoix"
193,"Latricières-Chambertin"
198,"Maranges"
199,"Marsannay"
201,"Mazis-Chambertin"
202,"Mazoyères-Chambertin"
203,"Mercurey"
204,"Meursault"
205,"Montagny"
206,"Monthélie"
207,"Montrachet"
208,"Morey-Saint-Denis"
209,"Morgon"
210,"Moulin-à-Vent"
211,"Musigny"
212,"Nuits-Saint-Georges"
213,"Pernand-Vergelesses"
214,"Petit Chablis"
215,"Pommard"
216,"Pouilly-Fuissé"
217,"Pouilly-Loché"
218,"Pouilly-Vinzelles"
219,"Puligny-Montrachet"
220,"Régnié"
221,"Richebourg"
222,"Romanée-Conti"
223,"Romanée-Saint-Vivant"
224,"Ruchottes-Chambertin"
225,"Rully"
226,"Saint-Amour"
227,"Saint-Aubin"
228,"Saint-Romain"
229,"Saint-Véran"
230,"Santenay"
231,"Savigny-lès-Beaune"
232,"Seyssel"
234,"Roussette de Savoie"
235,"Vin de Savoie ou Savoie"
240,"Volnay"
241,"Vosne-Romanée"
242,"Vougeot"
243,"Côtes du Forez"
244,"Macvin du Jura"
245,"Bouzeron"
246,"Viré-Clessé"
247,"Irancy"
250,"Crémant de Limoux"
251,"Limoux"
252,"Clairette de Bellegarde"
253,"Clairette du Languedoc"
254,"Collioure"
255,"Corbières"
256,"Costières de Nîmes"
257,"Languedoc"
258,"Côtes du Roussillon"
259,"Côtes du Roussillon Villages"
260,"Faugères"
261,"Fitou"
262,"Minervois"
263,"Saint-Chinian"
264,"Cabardès"
265,"Minervois-La Livinière"
266,"Château-Grillet"
267,"Châteauneuf-du-Pape"
268,"Châtillon-en-Diois"
269,"Clairette de Die"
270,"Condrieu"
271,"Cornas"
272,"Côte Rôtie"
273,"Coteaux de Die"
275,"Côtes du Rhône"
276,"Côtes du Rhône Villages"
278,"Ventoux"
279,"Crémant de Die"
280,"Crozes-Hermitage ou Crozes-Ermitage"
281,"Gigondas"
282,"Hermitage ou Ermitage ou l'Hermitage ou l'Ermitage"
283,"Lirac"
284,"Saint-Joseph"
285,"Saint-Péray"
287,"Tavel"
289,"Côtes du Vivarais"
290,"Pierrevert"
291,"Ajaccio"
292,"Bandol"
295,"Coteaux d'Aix-en-Provence"
297,"Côtes de Provence"
298,"Palette"
299,"Patrimonio"
300,"Vin de Corse ou Corse"
301,"Les Baux de Provence"
302,"Banyuls"
303,"Banyuls grand cru"
304,"Muscat de Frontignan ou Frontignan ou Vin de Frontignan"
305,"Grand Roussillon"
307,"Muscat de Rivesaltes"
308,"Muscat de Beaumes-de-Venise"
309,"Muscat de Lunel"
310,"Muscat de Mireval"
311,"Muscat de Saint-Jean-de-Minervois"
312,"Muscat du Cap Corse"
313,"Rasteau"
469,"Coteaux du Vendômois"
478,"Saint-Bris"
564,"Valençay"
582,"Coteaux varois en Provence"
583,"Mâcon"
585,"Bordeaux supérieur"
598,"Orléans-Cléry"
600,"Orléans"
608,"Malepère"
674,"Bugey"
675,"Roussette du Bugey"
677,"Saint-Pourçain"
685,"Côtes de Bordeaux"
686,"Saint-Sardos"
688,"Coteaux du Quercy"
690,"Moselle"
731,"Côtes de Millau"
733,"Picpoul de Pinet"
741,"Saint-Mont"
819,"Cairanne"
831,"La Clape"
833,"Pic Saint-Loup"
836,"Châteaumeillant"
837,"Côtes d'Auvergne"
840,"Coteaux d'Ancenis"
843,"Gros Plant du Pays Nantais"
854,"Luberon"
855,"Graves supérieures"
1013,"Grignan-les-Adhémar"
1016,"Entraygues - Le Fel"
1017,"Estaing"
1018,"Haut-Poitou"
1019,"Brulhois"
1020,"Tursan"
1027,"Coteaux Bourguignons ou Bourgogne grand ordinaire ou Bourgogne ordinaire"
1028,"Fiefs Vendéens"
1032,"Beaujolais"
1034,"Savennières Roche aux Moines"
1042,"Terrasses du Larzac"
1097,"Beaumes de Venise"
1098,"Corbières-Boutenac"
1130,"Vinsobres"
1164,"Coulée de Serrant"
1170,"Vézelay"
1187,"Alsace grand cru Altenberg de Bergbieten"
1188,"Alsace grand cru Altenberg de Bergheim"
1189,"Alsace grand cru Altenberg de Wolxheim"
1190,"Alsace grand cru Brand"
1191,"Alsace grand cru Bruderthal"
1192,"Alsace grand cru Eichberg"
1193,"Alsace grand cru Engelberg"
1194,"Alsace grand cru Florimont"
1195,"Alsace grand cru Frankstein"
1196,"Alsace grand cru Froehn"
1197,"Alsace grand cru Furstentum"
1198,"Alsace grand cru Geisberg"
1199,"Alsace grand cru Gloeckelberg"
1200,"Alsace grand cru Goldert"
1201,"Alsace grand cru Hatschbourg"
1202,"Alsace grand cru Hengst"
1203,"Alsace grand cru Kaefferkopf"
1204,"Alsace grand cru Kanzlerberg"
1205,"Alsace grand cru Kastelberg"
1206,"Alsace grand cru Kessler"
1207,"Alsace grand cru Kirchberg de Barr"
1208,"Alsace grand cru Kirchberg de Ribeauvillé"
1209,"Alsace grand cru Kitterlé"
1210,"Alsace grand cru Mambourg"
1211,"Alsace grand cru Mandelberg"
1212,"Alsace grand cru Marckrain"
1213,"Alsace grand cru Moenchberg"
1214,"Alsace grand cru Muenchberg"
1215,"Alsace grand cru Ollwiller"
1216,"Alsace grand cru Osterberg"
1217,"Alsace grand cru Pfersigberg"
1218,"Alsace grand cru Pfingstberg"
1219,"Alsace grand cru Praelatenberg"
1220,"Alsace grand cru Rangen"
1221,"Alsace grand cru Rosacker"
1222,"Alsace grand cru Saering"
1223,"Alsace grand cru Schlossberg"
1224,"Alsace grand cru Schoenenbourg"
1225,"Alsace grand cru Sommerberg"
1226,"Alsace grand cru Sonnenglanz"
1227,"Alsace grand cru Spiegel"
1228,"Alsace grand cru Sporen"
1229,"Alsace grand cru Steinert"
1230,"Alsace grand cru Steingrubler"
1231,"Alsace grand cru Steinklotz"
1232,"Alsace grand cru Vorbourg"
1233,"Alsace grand cru Wiebelsberg"
1234,"Alsace grand cru Wineck-Schlossberg"
1235,"Alsace grand cru Winzenberg"
1236,"Alsace grand cru Zinnkoepfle"
1237,"Alsace grand cru Zotzenberg"
